"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TRAT1",1.78066038796788e-85,0.379216847033793,0.273,0.124,6.51739508600123e-81,"2","TRAT1"
"HLA-DPA1.2",7.46561566297509e-83,-0.675461737976222,0.381,0.539,2.73248998880551e-78,"2","HLA-DPA1"
"RPLP0.1",1.02249695206636e-82,0.250633403017988,1,0.991,3.74244109425807e-78,"2","RPLP0"
"FAM102A",5.73796854351118e-82,0.370578337634597,0.354,0.186,2.10015386661053e-77,"2","FAM102A"
"MT-ND2.1",2.48485413388695e-80,0.380324564009261,0.975,0.929,9.09481461543962e-76,"2","MT-ND2"
"CD99.1",8.4525561804319e-80,-0.43362940460946,0.899,0.871,3.09372008759988e-75,"2","CD99"
"TRADD.1",3.9584633452512e-78,0.410228409326419,0.519,0.33,1.44883716899539e-73,"2","TRADD"
"CD3G.2",1.04190155705373e-77,-0.471081653692432,0.839,0.873,3.81346388897237e-73,"2","CD3G"
"GZMK.2",1.87912727675917e-77,0.477310338488189,0.676,0.455,6.87779374566625e-73,"2","GZMK"
"PIM1",7.92766323751031e-77,0.512398434729767,0.586,0.405,2.90160402156115e-72,"2","PIM1"
"VIM.2",8.99129276839975e-77,0.373264463985124,0.942,0.849,3.29090306616199e-72,"2","VIM"
"LEF1.2",1.20291607072348e-76,0.38737344699125,0.534,0.337,4.40279311045503e-72,"2","LEF1"
"CD3D.1",9.27384545259719e-76,-0.383446893565147,0.925,0.918,3.3943201741051e-71,"2","CD3D"
"H3F3A.1",2.50557658100147e-75,-0.331846162211423,0.945,0.944,9.17066084412349e-71,"2","H3F3A"
"KLRD1.2",4.76694548034002e-75,-0.741429351878885,0.344,0.502,1.74474971525925e-70,"2","KLRD1"
"ARMH1",5.08661332809192e-75,0.370592950427553,0.337,0.176,1.86175134421493e-70,"2","ARMH1"
"ACTG1.1",1.11663139600889e-74,-0.480114731600121,0.981,0.98,4.08698257253213e-70,"2","ACTG1"
"GPR183",1.36661951150496e-74,0.406645628664486,0.36,0.196,5.00196407405932e-70,"2","GPR183"
"ITGB1.2",2.3836275127855e-74,-0.518935866210425,0.577,0.724,8.7243150595462e-70,"2","ITGB1"
"CTSW.2",5.13136745825402e-74,-0.482311725454983,0.865,0.88,1.87813180339555e-69,"2","CTSW"
"SYNE1.1",7.48606838119501e-74,-0.614158329051015,0.288,0.464,2.73997588820119e-69,"2","SYNE1"
"PPP1CA.1",2.3968910390926e-73,-0.471988124110989,0.743,0.786,8.77286089218282e-69,"2","PPP1CA"
"UCP2.2",8.19353292908405e-73,-0.49763160604436,0.715,0.789,2.99891498737405e-68,"2","UCP2"
"PRKCQ-AS1.2",1.04191552900315e-72,0.429315106220379,0.505,0.325,3.81351502770444e-68,"2","PRKCQ-AS1"
"DGKA.1",1.12806516457033e-72,0.361684146583897,0.474,0.298,4.12883130884388e-68,"2","DGKA"
"AOAH.1",8.11768508626887e-71,-0.535755801443526,0.11,0.274,2.97115391842527e-66,"2","AOAH"
"CORO1A.1",1.05521359185159e-69,-0.36247500029622,0.971,0.955,3.86218726753601e-65,"2","CORO1A"
"NSG1",4.10176978723672e-68,0.324708773112151,0.279,0.137,1.50128875982651e-63,"2","NSG1"
"ABHD17A.1",5.88209590642997e-68,-0.513870810781274,0.678,0.744,2.15290592271243e-63,"2","ABHD17A"
"HCST.1",1.74929561030784e-67,-0.360170479777867,0.954,0.946,6.40259686328771e-63,"2","HCST"
"CHST12.2",1.85199727435528e-66,-0.514297107216252,0.234,0.399,6.77849522386777e-62,"2","CHST12"
"FXYD5.1",6.88996707702565e-66,0.289591682629819,0.961,0.896,2.52179684986216e-61,"2","FXYD5"
"MT-ND3.2",8.9964513349928e-66,0.269049920099135,0.996,0.984,3.29279115312071e-61,"2","MT-ND3"
"NOSIP.1",2.43630304709955e-64,0.371463665321691,0.799,0.648,8.91711278268907e-60,"2","NOSIP"
"APMAP.1",3.89202041761126e-64,-0.525000580145838,0.371,0.522,1.4245183930499e-59,"2","APMAP"
"CD81.1",1.13531290473599e-62,-0.416111760351839,0.772,0.804,4.1553587626242e-58,"2","CD81"
"GZMM.1",1.48779807151212e-62,-0.442118417284917,0.736,0.794,5.44548972154151e-58,"2","GZMM"
"CLIC3.2",3.58695211810085e-62,-0.668448174181896,0.235,0.39,1.31286034474609e-57,"2","CLIC3"
"SLC9A3R1.1",2.05740291152434e-61,-0.466394391823469,0.713,0.763,7.53030039647022e-57,"2","SLC9A3R1"
"MSN.1",2.2827541175447e-60,-0.439898532352582,0.716,0.774,8.35510834562536e-56,"2","MSN"
"DBI.1",8.38981153885354e-60,-0.440712025979634,0.554,0.656,3.07075492133578e-55,"2","DBI"
"CLDND1",1.09443167343543e-59,0.363809077522806,0.582,0.407,4.00572936794103e-55,"2","CLDND1"
"FLT3LG.1",3.32762632694197e-59,0.346574963607382,0.687,0.522,1.21794451192403e-54,"2","FLT3LG"
"LY6E.1",3.91837908875197e-58,-0.438058313442335,0.791,0.817,1.43416593027411e-53,"2","LY6E"
"MT-ND1.1",2.02597888043731e-57,0.276383118012996,0.978,0.94,7.41528530028859e-53,"2","MT-ND1"
"YWHAQ.1",5.29316780943063e-57,-0.443806970485171,0.633,0.714,1.9373523499297e-52,"2","YWHAQ"
"SSBP3.1",1.49271017469759e-56,-0.46868088555958,0.188,0.339,5.46346851041067e-52,"2","SSBP3"
"ARPC3.1",1.95091124818154e-56,-0.325760960042415,0.891,0.896,7.14053025946924e-52,"2","ARPC3"
"ABI3.1",2.79007840208524e-56,-0.489181300140164,0.186,0.331,1.02119659594722e-51,"2","ABI3"
"ACTN4.1",5.74892924750056e-55,-0.48981426021176,0.251,0.403,2.10416559387768e-50,"2","ACTN4"
"BHLHE40.1",3.00834693076439e-54,-0.554360700161673,0.162,0.308,1.10108506012907e-49,"2","BHLHE40"
"RAP1B.1",6.49013925760096e-54,-0.411334088947065,0.724,0.768,2.37545586967453e-49,"2","RAP1B"
"CCL5.2",8.01874851055265e-54,-0.380319410779446,0.976,0.867,2.93494214234738e-49,"2","CCL5"
"PTGER2",8.75385252181217e-54,0.42623741180925,0.498,0.35,3.20399756150847e-49,"2","PTGER2"
"RHOA.1",2.03673472500229e-53,-0.313603705776789,0.907,0.905,7.45465276698088e-49,"2","RHOA"
"CYTOR.1",1.09390498743744e-52,-0.474830501417266,0.289,0.436,4.00380164451978e-48,"2","CYTOR"
"PSMB9.1",1.60412323117024e-52,-0.375397698685214,0.75,0.792,5.87125143840619e-48,"2","PSMB9"
"CD74",1.70840830179457e-52,-0.630788191272922,0.9,0.896,6.25294522539832e-48,"2","CD74"
"BEX2",2.28608096608486e-52,0.276766896885199,0.292,0.163,8.3672849439672e-48,"2","BEX2"
"CD28",4.1181499606848e-52,0.279192642733492,0.258,0.139,1.50728406711024e-47,"2","CD28"
"LYAR",2.95138397124058e-51,0.36634727750121,0.727,0.577,1.08023604731376e-46,"2","LYAR"
"SUB1",4.19267865416279e-51,-0.383853859001928,0.763,0.791,1.53456231421012e-46,"2","SUB1"
"H3F3B.1",1.13625604110661e-50,-0.268361596737587,0.986,0.979,4.15881073605431e-46,"2","H3F3B"
