"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY",0,0.959833043439151,0.814,0.426,0,"0","GNLY"
"RPS26",0,0.81698356308251,1,0.988,0,"0","RPS26"
"MTRNR2L12",8.3594000234845e-279,0.583328939421862,0.997,0.992,3.05962400259556e-274,"0","MTRNR2L12"
"TRAV9-2",4.34593646333308e-247,1.14639200353761,0.282,0.075,1.59065620494454e-242,"0","TRAV9-2"
"MT-ATP6",2.54204315936117e-246,0.505610709940034,0.992,0.972,9.30413216757783e-242,"0","MT-ATP6"
"HOPX",3.66467617441902e-222,0.640495402387023,0.741,0.433,1.34130812659911e-217,"0","HOPX"
"IER5L",4.66770542269838e-221,0.656563221566236,0.41,0.16,1.70842686176183e-216,"0","IER5L"
"IL32",4.01174464067558e-204,0.425260079485225,0.995,0.975,1.46833865593367e-199,"0","IL32"
"GZMA",7.7594304989169e-197,0.500352302448134,0.976,0.715,2.84002915690857e-192,"0","GZMA"
"HLA-C",2.15204650187709e-191,-0.425918725476227,0.997,0.993,7.87670540152035e-187,"0","HLA-C"
"PRF1",8.99553009196804e-180,0.465590096796754,0.86,0.578,3.29245396896122e-175,"0","PRF1"
"S100A4",3.59092536484424e-176,0.427748308739585,0.995,0.914,1.31431459278664e-171,"0","S100A4"
"SH3BGRL3",1.52488546469186e-172,0.362854053972211,0.999,0.982,5.58123328931868e-168,"0","SH3BGRL3"
"FOS",3.01972315935622e-170,-1.24688358483265,0.674,0.789,1.10524887355597e-165,"0","FOS"
"HLA-B",8.73257488430928e-169,0.254265503371021,1,0.999,3.19620973340604e-164,"0","HLA-B"
"NKG7",2.91101594700775e-160,0.469090382540784,0.991,0.782,1.06546094676431e-155,"0","NKG7"
"ASCL2",3.38344307261412e-154,0.560674146518483,0.332,0.135,1.23837399900749e-149,"0","ASCL2"
"IER2",1.26951026410346e-152,0.424583714702791,0.965,0.889,4.64653451764508e-148,"0","IER2"
"RPS10",1.45980989465555e-144,0.503255935051712,0.665,0.46,5.34305019542877e-140,"0","RPS10"
"S100A11",4.36761474595842e-134,0.513017961834539,0.729,0.528,1.59859067316824e-129,"0","S100A11"
"GADD45B",8.67831190119327e-133,0.501458708299971,0.848,0.708,3.17634893895575e-128,"0","GADD45B"
"KLRC4",2.70853171519154e-128,-0.585876146481527,0.127,0.355,9.91349693077256e-124,"0","KLRC4"
"KLRD1",3.31124167335452e-128,0.502580708100227,0.672,0.432,1.21194756486449e-123,"0","KLRD1"
"ITGB1",1.50083268999822e-126,0.432926880980811,0.879,0.66,5.49319772866248e-122,"0","ITGB1"
"CLIC3",7.85751945373742e-121,0.507741532978567,0.542,0.325,2.87593069526243e-116,"0","CLIC3"
"NPDC1",1.02453986622265e-119,0.45517537229874,0.379,0.192,3.74991836436151e-115,"0","NPDC1"
"MT-CYB",2.51965398036196e-119,-0.441181638723035,0.975,0.981,9.22218553352281e-115,"0","MT-CYB"
"BTN3A2",6.44703747880445e-119,-0.522811439297486,0.156,0.382,2.35968018761722e-114,"0","BTN3A2"
"PABPC1",1.51697830038928e-118,-0.410125689912062,0.953,0.959,5.55229227725479e-114,"0","PABPC1"
"CLIC1",7.67324417138021e-115,0.368420631992169,0.947,0.801,2.80848409916687e-110,"0","CLIC1"
"MT-ATP8",4.96418527613666e-113,-0.813081752131381,0.873,0.799,1.81694145291878e-108,"0","MT-ATP8"
"MT-CO1",2.91490820930001e-109,0.25804108618485,1,0.998,1.0668855536859e-104,"0","MT-CO1"
"IFITM2",1.2058661878189e-108,0.367395270130448,0.95,0.867,4.41359083403594e-104,"0","IFITM2"
"CTSW",1.19391821152805e-106,0.340629889636861,0.957,0.859,4.36986004601381e-102,"0","CTSW"
"ZNF683",2.41167099877302e-106,0.635215081319979,0.485,0.291,8.82695702260914e-102,"0","ZNF683"
"DUSP1",4.85116698021925e-105,-0.831940704414119,0.794,0.825,1.77557562643005e-100,"0","DUSP1"
"CD2",1.51159635518169e-103,0.365010085895265,0.902,0.791,5.53259381960051e-99,"0","CD2"
"CD27",1.19639204762257e-102,0.391202945479559,0.813,0.647,4.37891453350338e-98,"0","CD27"
"VIM",1.32023040442277e-102,-0.567244068621347,0.826,0.872,4.83217530322777e-98,"0","VIM"
"CX3CR1",7.71202194393842e-102,0.451462353280792,0.435,0.242,2.8226771517009e-97,"0","CX3CR1"
"CD52",9.4392154520073e-102,0.308311218824694,0.989,0.946,3.45484724758919e-97,"0","CD52"
"IFITM3",2.42173512169421e-101,-0.495777437996023,0.13,0.327,8.86379271891299e-97,"0","IFITM3"
"TRBV27",7.48135969275678e-98,0.74395122425098,0.368,0.196,2.73825246114591e-93,"0","TRBV27"
"EIF1",8.17028840748811e-97,-0.296218901787616,0.997,0.99,2.99040726002472e-92,"0","EIF1"
"MATK",2.84639672471838e-96,0.416866874760175,0.684,0.513,1.04180966521418e-91,"0","MATK"
"ANXA1",3.54990006573852e-94,0.33899836828969,0.939,0.797,1.29929892306095e-89,"0","ANXA1"
"LINC01871",4.39296293096031e-94,0.456452899483354,0.664,0.494,1.60786836236078e-89,"0","LINC01871"
"CCL5",3.06200392941791e-92,0.273789485418347,1,0.855,1.12072405820625e-87,"0","CCL5"
"NELL2",4.27120944835483e-92,-0.596230151451908,0.149,0.327,1.56330537019235e-87,"0","NELL2"
"TAGLN2",5.78303691100125e-92,0.38907775915605,0.929,0.855,2.11664933979557e-87,"0","TAGLN2"
"JUND",1.37540013767832e-87,-0.469342669051374,0.947,0.949,5.0341020439164e-83,"0","JUND"
"RCAN3",9.46418088324776e-86,-0.490912869287161,0.116,0.282,3.46398484507751e-81,"0","RCAN3"
"CDC42EP3",4.53085538772965e-82,0.384476109229888,0.488,0.325,1.65833838046293e-77,"0","CDC42EP3"
"GZMH",8.2345270684102e-82,0.335144776468088,0.763,0.502,3.01391925230882e-77,"0","GZMH"
"TSC22D3",2.51616891527431e-81,-0.468428111317534,0.811,0.874,9.2094298467955e-77,"0","TSC22D3"
"COTL1",6.88791047195553e-81,-0.595969728509817,0.612,0.726,2.52104411184044e-76,"0","COTL1"
"SARAF",8.26719182056043e-79,-0.319400266230875,0.958,0.954,3.02587487824332e-74,"0","SARAF"
"NFKBIA",3.6567499380599e-78,-0.770898598523971,0.477,0.618,1.3384070448293e-73,"0","NFKBIA"
"IGLV2-14",6.04329216029193e-77,0.370749760149715,0.381,0.221,2.21190536358845e-72,"0","IGLV2-14"
"XBP1",5.77207365270521e-76,0.38019237209469,0.657,0.512,2.11263667762663e-71,"0","XBP1"
"CTSC",7.26321975615784e-75,0.33805932447803,0.725,0.562,2.65841106295133e-70,"0","CTSC"
"SELPLG",2.11775329093025e-74,0.329834269661873,0.781,0.671,7.75118882013381e-70,"0","SELPLG"
"CD69",3.58461760506886e-74,-0.582497482957715,0.654,0.747,1.31200588963125e-69,"0","CD69"
"AL138963.4",4.100443189261e-74,0.291303835098271,0.662,0.504,1.50080321170142e-69,"0","AL138963.4"
"CXCR4",1.99709922647696e-72,-0.504151116761776,0.63,0.754,7.30958287882832e-68,"0","CXCR4"
"CXCR3",2.60643839774089e-70,0.374235481038631,0.497,0.344,9.53982517957145e-66,"0","CXCR3"
"CD3G",5.23707822904154e-68,0.286740946637492,0.922,0.855,1.91682300261149e-63,"0","CD3G"
"SSR4",8.02528186778041e-68,0.288617228176336,0.853,0.791,2.93733341642631e-63,"0","SSR4"
"CCR7",8.59605495878967e-68,-0.654760338878832,0.119,0.257,3.14624207546661e-63,"0","CCR7"
"DYNLL1",8.98823186914535e-68,0.37885185597764,0.598,0.451,3.28978274642589e-63,"0","DYNLL1"
"FGFBP2",3.42309363328459e-67,0.378926732987509,0.586,0.394,1.25288650071849e-62,"0","FGFBP2"
"CRIP1",8.60575677949769e-67,0.302701570687486,0.939,0.855,3.14979303886395e-62,"0","CRIP1"
"ITGAM",1.14914293948426e-66,0.283637357590736,0.254,0.13,4.20597807280632e-62,"0","ITGAM"
"SELL",1.50278155787348e-65,0.301806219189206,0.75,0.571,5.50033077997272e-61,"0","SELL"
"TCF7",4.02031823002572e-63,-0.614418693577982,0.486,0.578,1.47147667537171e-58,"0","TCF7"
"UCP2",6.78386133945948e-62,0.289102926646494,0.864,0.757,2.48296108885557e-57,"0","UCP2"
"PNRC1",1.6487424140792e-61,-0.266360824380921,0.963,0.966,6.0345621097713e-57,"0","PNRC1"
"HLA-DRB5",1.16133375107756e-60,-0.524590327826704,0.119,0.25,4.25059766231899e-56,"0","HLA-DRB5"
"H2AFX",5.43794857131574e-60,0.339958906699401,0.408,0.275,1.99034355658728e-55,"0","H2AFX"
"TBX21",1.93875860765999e-59,0.322075057564644,0.517,0.361,7.09605037989633e-55,"0","TBX21"
"RBM38",4.83157674319014e-58,-0.442437050956298,0.391,0.543,1.76840540377502e-53,"0","RBM38"
"NME2",1.15973269839269e-57,0.295286885829523,0.828,0.753,4.24473764938708e-53,"0","NME2"
"TSPAN32",1.57461661137878e-56,0.333730641344114,0.421,0.292,5.76325425930747e-52,"0","TSPAN32"
"ALOX5AP",2.16831408653478e-55,-0.398182885974653,0.124,0.253,7.93624638812594e-51,"0","ALOX5AP"
"PIK3R1",2.73970215346027e-55,-0.493698727400025,0.4,0.542,1.00275838518799e-50,"0","PIK3R1"
"LITAF",3.18820837180348e-54,0.25052970522934,0.868,0.795,1.16691614616379e-49,"0","LITAF"
"PPP1R15A",9.77325976535259e-54,-0.507396661908941,0.44,0.566,3.5771108067167e-49,"0","PPP1R15A"
"CHST12",1.05789329113329e-53,0.283387153496585,0.485,0.348,3.87199523487695e-49,"0","CHST12"
"SAMD3",6.60676687968125e-53,0.292789776486655,0.676,0.541,2.41814274563213e-48,"0","SAMD3"
"FYB1",1.41130436668146e-51,-0.351640450572015,0.73,0.791,5.16551511249081e-47,"0","FYB1"
"NR4A2",3.34179901830132e-48,-0.521488110101433,0.269,0.394,1.22313185868847e-43,"0","NR4A2"
"ITGB2-AS1",4.49944780145186e-46,0.296498562107457,0.43,0.314,1.6468428898094e-41,"0","ITGB2-AS1"
"LTB",2.39552306604774e-44,-0.562920910727288,0.507,0.604,8.76785397404132e-40,"0","LTB"
"AC007952.4",3.12734384063695e-43,0.288524158565351,0.535,0.421,1.14463911911153e-38,"0","AC007952.4"
"MT-ND3",6.40547957340754e-42,-0.281940015465333,0.994,0.983,2.34446957866289e-37,"0","MT-ND3"
"GLRX",1.46952122807555e-41,0.302409063407394,0.414,0.311,5.37859464687931e-37,"0","GLRX"
"FYN",9.04722753048929e-40,-0.332881410910725,0.601,0.698,3.31137574843438e-35,"0","FYN"
"MT-CO3",2.84703179228437e-39,-0.347887239626054,0.988,0.977,1.042042106294e-34,"0","MT-CO3"
"LEPROTL1",3.10071911228874e-39,-0.353750653384458,0.644,0.715,1.1348942022888e-34,"0","LEPROTL1"
"SBDS",6.91754343862896e-39,-0.354699583069116,0.34,0.46,2.53189007397259e-34,"0","SBDS"
"TIMP1",1.2275150997518e-38,0.30432551222586,0.327,0.225,4.49282801660155e-34,"0","TIMP1"
"MT-ND4",1.33829936255584e-38,-0.278689484330796,0.935,0.936,4.89830949689064e-34,"0","MT-ND4"
"ID2",1.5401650118126e-38,0.256356128016331,0.581,0.468,5.6371579597353e-34,"0","ID2"
"PNP",1.10342656408885e-37,0.255163890397742,0.288,0.194,4.03865156722161e-33,"0","PNP"
"RHOB",5.60683388081303e-37,0.261769858715701,0.275,0.177,2.05215726871638e-32,"0","RHOB"
"LINC02446",7.60422076326432e-37,-0.586135122274371,0.259,0.363,2.78322084156237e-32,"0","LINC02446"
"GZMK",1.39922632667719e-36,0.357202426644604,0.583,0.465,5.12130827827119e-32,"0","GZMK"
"CITED2",7.6681417434146e-36,0.257659015155821,0.673,0.589,2.80661655950718e-31,"0","CITED2"
"HNRNPU",1.96775953720582e-35,-0.291055284316092,0.636,0.724,7.202196682127e-31,"0","HNRNPU"
"MTRNR2L8",2.16935098188312e-35,-2.24862753513649,0.362,0.423,7.9400415287904e-31,"0","MTRNR2L8"
"SEPTIN6",1.01615733696311e-34,-0.297360780162934,0.559,0.652,3.71923746901869e-30,"0","SEPTIN6"
"NFKB1",1.38293484101197e-34,-0.293411590784672,0.192,0.303,5.06167981158791e-30,"0","NFKB1"
"TMEM173",2.6392010201746e-34,0.263376568969256,0.42,0.323,9.65973965394105e-30,"0","TMEM173"
"LINC01578",2.92509882704681e-34,-0.285329180325063,0.783,0.822,1.0706154216874e-29,"0","LINC01578"
"FOXP1",7.78702216375392e-34,-0.328320899488052,0.362,0.479,2.85012798215557e-29,"0","FOXP1"
"PIK3IP1",4.53827968559419e-33,-0.336621137376758,0.317,0.431,1.66105574772433e-28,"0","PIK3IP1"
"MBNL1",5.48203305365768e-33,-0.257612328630481,0.693,0.766,2.00647891796925e-28,"0","MBNL1"
"ABLIM1",1.18234762477087e-31,-0.337705733363967,0.268,0.374,4.32751054142387e-27,"0","ABLIM1"
"MRPS6",1.63502382248235e-31,0.254259999141956,0.477,0.391,5.98435069266766e-27,"0","MRPS6"
"TNFAIP3",4.57753830777804e-30,-0.580726590033256,0.651,0.664,1.67542479602984e-25,"0","TNFAIP3"
"BTG2",6.75251810744005e-30,-0.414910948278867,0.37,0.468,2.47148915250413e-25,"0","BTG2"
"ANP32B",1.27162429774637e-29,-0.274120574599915,0.611,0.686,4.65427209218147e-25,"0","ANP32B"
"NFKBIZ",1.92419947117683e-28,-0.257433271885457,0.185,0.285,7.0427624844543e-24,"0","NFKBIZ"
"ANKRD12",1.94572251850024e-28,-0.272884625728223,0.472,0.585,7.12153898996273e-24,"0","ANKRD12"
"SFPQ",6.67146305392312e-28,-0.271100903412747,0.561,0.654,2.4418221923664e-23,"0","SFPQ"
"LEF1",1.90875496938892e-27,-0.471834633779037,0.306,0.38,6.98623406346038e-23,"0","LEF1"
"PASK",7.02624620999402e-26,-0.300914245064713,0.173,0.261,2.57167637531991e-21,"0","PASK"
"CDK17",7.98041868228579e-26,-0.263870046422159,0.243,0.343,2.92091304190342e-21,"0","CDK17"
"DDX6",8.6193676920279e-26,-0.278841012490404,0.447,0.547,3.15477476895913e-21,"0","DDX6"
"CLK1",9.51972727581799e-26,-0.268153996249991,0.281,0.383,3.48431538022214e-21,"0","CLK1"
"RPS20",1.07045984555815e-25,-0.352216016017518,0.485,0.568,3.9179900807274e-21,"0","RPS20"
"FOSB",3.76017575362093e-25,-0.368676648070193,0.398,0.485,1.3762619275828e-20,"0","FOSB"
"ZFP36",5.43173479169907e-25,-0.537385913202954,0.865,0.863,1.98806925110978e-20,"0","ZFP36"
"CCNL1",5.83135998529478e-25,-0.283001898651704,0.569,0.652,2.13433606821774e-20,"0","CCNL1"
"TSPYL2",2.66427452883151e-23,-0.358189794881762,0.253,0.339,9.75151120297622e-19,"0","TSPYL2"
"NDFIP1",7.28532600422241e-22,-0.27910795001273,0.5,0.574,2.66650217080544e-17,"0","NDFIP1"
"CCNH",9.1264590183033e-22,-0.3022210002281,0.431,0.518,3.34037526528919e-17,"0","CCNH"
"PRKCQ-AS1",5.96655276586135e-21,-0.288159754456609,0.285,0.368,2.18381797783291e-16,"0","PRKCQ-AS1"
"ODC1",1.42695237302025e-20,-0.261789439150241,0.384,0.474,5.22278838049144e-16,"0","ODC1"
"HLA-DPA1",9.60633179111433e-20,-0.357411200980386,0.478,0.525,3.51601349886576e-15,"0","HLA-DPA1"
"RGCC",1.65739259345968e-18,-0.293811618456309,0.225,0.3,6.06622263132177e-14,"0","RGCC"
"HMGB2",1.78106455410239e-17,-0.380702258150538,0.402,0.479,6.51887437447015e-13,"0","HMGB2"
"DNAJB1",2.72682145327232e-14,-0.256777666367687,0.723,0.754,9.98043920112203e-10,"0","DNAJB1"
"KLF6",5.58686860993802e-14,-0.318743640357043,0.73,0.736,2.04484977992341e-09,"0","KLF6"
"MT-ND6",1.21322779330746e-11,-0.27258182398115,0.464,0.518,4.44053504628462e-07,"0","MT-ND6"
"MT2A",1.41737708280549e-11,-0.303006987272722,0.608,0.637,5.18774186077637e-07,"0","MT2A"
"HIST1H1C",1.24738149302834e-10,-0.270286234556257,0.31,0.368,4.56554100263304e-06,"0","HIST1H1C"
"IL7R",4.88151285654198e-08,-0.289180077212188,0.592,0.598,0.00178668252062293,"0","IL7R"
"TUBA1B",0.00355303553893582,-0.259540898757587,0.58,0.547,1,"0","TUBA1B"
"LGALS1",0.00458095191454899,-0.274748050706344,0.466,0.464,1,"0","LGALS1"
"GZMB",0,1.77813362192261,0.884,0.309,0,"1","GZMB"
"FGFBP2.1",0,1.50860303427961,0.913,0.344,0,"1","FGFBP2"
"GZMH.1",0,1.39707413968963,0.985,0.474,0,"1","GZMH"
"CCL4",0,1.38650215739197,0.722,0.319,0,"1","CCL4"
"NKG7.1",0,1.29718928491789,1,0.791,0,"1","NKG7"
"SPON2",0,1.28766590388663,0.645,0.221,0,"1","SPON2"
"GNLY.1",0,1.11235444291636,0.884,0.432,0,"1","GNLY"
"ADGRG1",0,1.09913315942118,0.698,0.233,0,"1","ADGRG1"
"FCGR3A",0,1.07132815448549,0.673,0.22,0,"1","FCGR3A"
"EFHD2",0,1.00563937084976,0.903,0.547,0,"1","EFHD2"
"RPS4Y1",0,0.964076098090918,0.5,0.152,0,"1","RPS4Y1"
"PRF1.1",0,0.906147260950812,0.925,0.58,0,"1","PRF1"
"CST7",0,0.807715530628837,0.989,0.724,0,"1","CST7"
"SH3BGRL3.1",0,0.79922028306659,1,0.982,0,"1","SH3BGRL3"
"ITGB2",0,0.709044475807398,0.976,0.841,0,"1","ITGB2"
"B2M",0,0.37395676760133,1,0.999,0,"1","B2M"
"RPL30",0,-0.436608862908782,1,0.998,0,"1","RPL30"
"RPL28",0,-0.436730124445971,1,0.998,0,"1","RPL28"
"RPL18A",0,-0.453055697647168,1,0.996,0,"1","RPL18A"
"RPS14",0,-0.471652340104702,0.998,0.994,0,"1","RPS14"
"RPS23",0,-0.472010330383881,1,0.996,0,"1","RPS23"
"RPL39",0,-0.473492733016869,1,0.994,0,"1","RPL39"
"RPS4X",0,-0.493252044990416,0.999,0.995,0,"1","RPS4X"
"RPS28",0,-0.501641382928352,1,0.996,0,"1","RPS28"
"RPS25",0,-0.503051070552144,0.999,0.993,0,"1","RPS25"
"RPS18",0,-0.503632674437782,1,0.998,0,"1","RPS18"
"RPL36",0,-0.514500222065,0.999,0.992,0,"1","RPL36"
"RPS21",0,-0.518664681044717,0.998,0.994,0,"1","RPS21"
"RPL32",0,-0.569892566541188,1,0.997,0,"1","RPL32"
"RPS8",0,-0.571139973604279,1,0.996,0,"1","RPS8"
"RPL13",0,-0.631367879250125,0.999,0.998,0,"1","RPL13"
"RPS5",0,-0.673915281461812,0.994,0.984,0,"1","RPS5"
"RPS12",0,-0.699857854349926,0.999,0.998,0,"1","RPS12"
"TCF7.1",0,-1.65168379045874,0.178,0.629,0,"1","TCF7"
"LTB.1",0,-2.21209772897088,0.221,0.651,0,"1","LTB"
"EEF1A1",5.10178702499025e-305,-0.390978927824492,1,0.999,1.86730506901668e-300,"1","EEF1A1"
"RPL34",2.03109193554418e-301,-0.458801110833686,0.999,0.997,7.43399959328524e-297,"1","RPL34"
"RPL19",3.14935930209693e-297,-0.424525955032641,1,0.997,1.1526969981605e-292,"1","RPL19"
"RPL41",2.38569447250607e-296,-0.336704825105176,1,0.999,8.73188033881945e-292,"1","RPL41"
"HLA-B.1",2.6740041726493e-291,0.402253063243444,1,0.999,9.78712267231369e-287,"1","HLA-B"
"CX3CR1.1",7.10077657878449e-291,0.885917004103533,0.575,0.226,2.59895523560091e-286,"1","CX3CR1"
"RPS13",5.40126483563236e-288,-0.561626047327123,0.999,0.992,1.9769169424898e-283,"1","RPS13"
"RPL8",1.05520014370197e-282,-0.498200763926809,0.997,0.992,3.86213804596357e-278,"1","RPL8"
"RPL11",4.0413441678206e-282,-0.426198234284097,1,0.997,1.47917237886402e-277,"1","RPL11"
"ZEB2",1.73797542242073e-279,0.76617074316318,0.655,0.298,6.3611638436021e-275,"1","ZEB2"
"C12orf75",7.11105576200401e-279,0.745839285686327,0.877,0.585,2.60271751945109e-274,"1","C12orf75"
"SRGN",2.34071393103382e-276,0.682494255002771,0.947,0.754,8.5672470589769e-272,"1","SRGN"
"TPT1",1.87515965093043e-274,-0.542135820943122,1,0.996,6.86327183837048e-270,"1","TPT1"
"GZMA.1",4.9926024865919e-273,0.695245427031033,0.99,0.725,1.8273424361175e-268,"1","GZMA"
"RPS6",3.77162436231235e-272,-0.509110571805836,0.999,0.993,1.38045223284994e-267,"1","RPS6"
"S100A4.1",8.96792182008884e-272,0.657846370388199,0.994,0.919,3.28234906537072e-267,"1","S100A4"
"RPS9",1.55636947318543e-271,-0.492220809207137,0.994,0.988,5.696467908806e-267,"1","RPS9"
"PRSS23",1.37531713570579e-270,0.716451483348695,0.444,0.143,5.03379824839675e-266,"1","PRSS23"
"CD8A",4.25588275387066e-270,0.551814869199684,0.993,0.935,1.5576956467442e-265,"1","CD8A"
"LGALS1.1",1.41594416577711e-264,0.920874570597549,0.749,0.413,5.18249724116079e-260,"1","LGALS1"
"CD3G.1",5.10878534253349e-263,0.641631801611131,0.96,0.851,1.86986652322068e-258,"1","CD3G"
"VIM.1",3.99565205769383e-262,-0.976232486897797,0.731,0.887,1.46244860963652e-257,"1","VIM"
"RPS3A",2.35220472783936e-257,-0.470311595182657,0.999,0.995,8.60930452436483e-253,"1","RPS3A"
"LY6E",5.48024332527404e-255,0.704894240472266,0.937,0.791,2.00582385948355e-250,"1","LY6E"
"HLA-A",7.53909864699591e-253,0.442895004114877,1,0.993,2.75938549578697e-248,"1","HLA-A"
"CLIC3.1",3.95451067398511e-248,0.868561620530735,0.641,0.318,1.44739045178529e-243,"1","CLIC3"
"RPS2",5.19196862844601e-245,-0.496281914980377,0.992,0.991,1.90031243769752e-240,"1","RPS2"
"MYL6",6.63078985698262e-242,0.527115548436107,0.994,0.94,2.42693539555421e-237,"1","MYL6"
"GAPDH",9.71766236563749e-242,0.461068148341156,0.999,0.968,3.55676160244698e-237,"1","GAPDH"
"RPLP2",1.01723047084473e-239,-0.479166266071806,0.996,0.985,3.72316524633879e-235,"1","RPLP2"
"PFN1",5.00368576823404e-237,0.461365933700413,1,0.99,1.83139902803134e-232,"1","PFN1"
"RPS15",1.29120752301152e-235,-0.334926203348038,1,0.996,4.72594865497446e-231,"1","RPS15"
"RPL10A",3.5334640936583e-234,-0.529710895373194,0.985,0.976,1.29328319291987e-229,"1","RPL10A"
"RPS27A",4.30604074820444e-234,-0.355934772986009,0.999,0.996,1.57605397425031e-229,"1","RPS27A"
"IL7R.1",1.30744457952717e-230,-1.31557738107816,0.345,0.643,4.7853779055274e-226,"1","IL7R"
"ARPC2",2.46399737614772e-230,0.556998737254248,0.981,0.9,9.01847679643827e-226,"1","ARPC2"
"EEF1B2",5.6237418895261e-228,-0.637182661380842,0.971,0.964,2.05834576898545e-223,"1","EEF1B2"
"RPS3",2.50089223910449e-226,-0.333032589533381,1,0.997,9.15351568434634e-222,"1","RPS3"
"RPL5",8.71878365867307e-225,-0.475925462913878,0.997,0.987,3.19116200691093e-220,"1","RPL5"
"CYBA",1.45449341148664e-223,0.494882213640736,0.991,0.939,5.32359133538224e-219,"1","CYBA"
"RPL10",2.36016959206575e-220,-0.33852676732356,1,0.998,8.63845672391986e-216,"1","RPL10"
"RPL37",2.15129131923802e-218,-0.407870807816543,0.998,0.994,7.87394135754307e-214,"1","RPL37"
"CLIC1.1",7.62035989569111e-217,0.596062076579795,0.967,0.804,2.7891279254219e-212,"1","CLIC1"
"BHLHE40",9.11901916537932e-217,0.771275368694343,0.534,0.241,3.33765220472049e-212,"1","BHLHE40"
"CTSC.1",1.08081803052224e-212,0.679048556793522,0.809,0.554,3.95590207351444e-208,"1","CTSC"
"KLRD1.1",4.05246385696095e-212,0.654196459334413,0.768,0.426,1.48324229628628e-207,"1","KLRD1"
"RPL22",7.2732790506533e-212,-0.520072382703338,0.983,0.974,2.66209286532961e-207,"1","RPL22"
"RPL18",4.80732172373987e-210,-0.383042120300897,0.999,0.992,1.75952782410603e-205,"1","RPL18"
"LAIR2",2.02855669692431e-209,0.727446778207309,0.306,0.09,7.42472036641265e-205,"1","LAIR2"
"RPL9",1.0347275859758e-207,-0.506486847948212,0.991,0.979,3.78720643743001e-203,"1","RPL9"
"RPLP0",5.83621027043729e-202,-0.465187702477687,0.996,0.992,2.13611132108275e-197,"1","RPLP0"
"RPL35A",5.84589269070462e-200,-0.350330308441325,0.998,0.992,2.1396551837248e-195,"1","RPL35A"
"RPL14",1.52049518645709e-198,-0.366558290332128,0.998,0.993,5.56516443195161e-194,"1","RPL14"
"ABHD17A",7.58683482467893e-198,0.600499186926064,0.89,0.706,2.77685741418073e-193,"1","ABHD17A"
"CTSD",1.66392018144682e-197,0.63070579755261,0.801,0.568,6.09011425611349e-193,"1","CTSD"
"GZMK.1",1.75437769975551e-195,-1.45469081604076,0.234,0.534,6.42119781887516e-191,"1","GZMK"
"RPL36A",5.48415313782255e-193,-0.467645797662185,0.984,0.977,2.00725488997443e-188,"1","RPL36A"
"MT-ATP6.1",3.89488105410223e-192,-0.662758042448897,0.958,0.979,1.42556541461196e-187,"1","MT-ATP6"
"RPL29",1.8232039369104e-191,-0.331497307509404,1,0.994,6.67310872948574e-187,"1","RPL29"
"TBX21.1",7.86528985866751e-190,0.612987737968455,0.645,0.346,2.8787747411709e-185,"1","TBX21"
"C1orf21",1.74943165618973e-189,0.570538811160539,0.413,0.16,6.40309480482004e-185,"1","C1orf21"
"TGFBR3",1.24348579694477e-188,0.623009753350838,0.573,0.291,4.55128236539757e-184,"1","TGFBR3"
"PLEK",6.48839758679841e-185,0.629890586616202,0.644,0.341,2.37481840074409e-180,"1","PLEK"
"ASCL2.1",3.92851251625046e-181,0.572277131142624,0.374,0.137,1.43787486607283e-176,"1","ASCL2"
"CFL1",1.29761425722518e-177,0.39929278128668,0.996,0.975,4.74939794286987e-173,"1","CFL1"
"CD3D",3.34749920577446e-177,0.485093277077946,0.977,0.909,1.22521818430551e-172,"1","CD3D"
"LEF1.1",6.35123975013669e-177,-1.02278634690197,0.125,0.41,2.32461726094753e-172,"1","LEF1"
"LITAF.1",8.09925284646379e-176,0.53387848525669,0.93,0.787,2.96440753433421e-171,"1","LITAF"
"NELL2.1",1.97467215116912e-175,-0.932456722151094,0.058,0.335,7.2274975404941e-171,"1","NELL2"
"MT-ND3.1",4.17789267765229e-175,-0.548992512043074,0.989,0.985,1.52915049894752e-170,"1","MT-ND3"
"MIR4435-2HG",6.29086812529524e-173,0.58889352345645,0.466,0.212,2.30252064253931e-168,"1","MIR4435-2HG"
"SSBP4",9.50792676422621e-169,0.55878052064354,0.811,0.592,3.47999627497444e-164,"1","SSBP4"
"CCR7.1",9.78388422442773e-169,-1.02658415344023,0.016,0.269,3.58099946498279e-164,"1","CCR7"
"GNG2",2.80249416008962e-168,0.607020080513194,0.756,0.528,1.0257408875344e-163,"1","GNG2"
"SERTAD1",1.10365290127917e-167,0.604314656381473,0.479,0.228,4.03947998397189e-163,"1","SERTAD1"
"FLNA",7.85481126084187e-167,0.536098202310392,0.927,0.753,2.87493946958073e-162,"1","FLNA"
"FGR",1.62982252930001e-166,0.520997699092363,0.393,0.156,5.96531343949098e-162,"1","FGR"
"CD99",1.76584208532874e-166,0.467811295584071,0.971,0.858,6.46315861651172e-162,"1","CD99"
"EMP3",1.03418510881378e-164,0.475097924201001,0.971,0.883,3.78522091676931e-160,"1","EMP3"
"TTC38",5.52757778327192e-162,0.552893256626375,0.337,0.126,2.02314874445535e-157,"1","TTC38"
"ZNF683.1",1.31188897941932e-161,0.875438471087333,0.548,0.289,4.80164485357266e-157,"1","ZNF683"
