"","x"
"279","IGKV1D-32"
"280","IGKV3D-31"
"281","IGKV2D-30"
"282","IGKV2D-29"
"283","IGKV2D-28"
"284","IGKV1D-27"
"285","IGKV2D-26"
"286","IGKV3D-25"
"287","IGKV2D-24"
"288","IGKV2D-23"
"289","IGKV1D-22"
"290","IGKV6D-21"
"291","IGKV3D-20"
"292","IGKV2D-19"
"293","IGKV2D-18"
"294","IGKV6D-41"
"295","IGKV1D-17"
"296","IGKV1D-16"
"297","IGKV3D-15"
"298","IGKV2D-14"
"299","IGKV1D-13"
"300","IGKV1D-12"
"301","IGKV3D-11"
"302","IGKV2D-10"
"303","IGKV1D-42"
"304","IGKV1D-43"
"305","IGKV1D-8"
"306","IGKV3D-7"
"307","IGKV1OR2-118"
"308","IGKV1OR2-1"
"309","IGKV2OR2-1"
"310","IGKV2OR2-2"
"311","IGKV1OR2-3"
"312","IGKV1OR2-9"
"313","IGKV2OR2-10"
"314","IGKV2OR2-7D"
"315","IGKV3OR2-5"
"316","IGKV1OR2-6"
"317","IGKV2OR2-7"
"318","IGKV2OR2-8"
"319","IGKV1OR2-11"
"320","IGKV1OR2-108"
"321","IGKV1OR9-2"
"322","IGKV1OR-2"
"323","IGKV1OR9-1"
"324","IGKV1OR-3"
"325","IGKV1OR10-1"
"326","IGKV1OR22-5"
"327","IGKV2OR22-4"
"328","IGKV2OR22-3"
"329","IGKV3OR22-2"
"330","IGKV1OR22-1"
"331","IGKJ5"
"332","IGKJ4"
"333","IGKJ3"
"334","IGKJ2"
"335","IGKJ1"
"336","IGKC"
"337","IGHV6-1"
"338","IGHVII-1-1"
"339","IGHV1-2"
"340","IGHVIII-2-1"
"341","IGHV1-3"
"342","IGHV4-4"
"343","IGHV7-4-1"
"344","IGHV2-5"
"345","IGHVIII-5-1"
"346","IGHVIII-5-2"
"347","IGHV3-6"
"348","IGHV3-7"
"349","IGHV3-64D"
"350","IGHV5-10-1"
"351","IGHV3-11"
"352","IGHVIII-11-1"
"353","IGHV1-12"
"354","IGHV3-13"
"355","IGHVIII-13-1"
"356","IGHV1-14"
"357","IGHV3-15"
"358","IGHVII-15-1"
"359","IGHV3-16"
"360","IGHVIII-16-1"
"361","IGHV1-17"
"362","IGHV1-18"
"363","IGHV3-19"
"364","IGHV3-20"
"365","IGHV3-21"
"366","IGHV3-22"
"367","IGHVII-22-1"
"368","IGHVIII-22-2"
"369","IGHV3-23"
"370","IGHV1-24"
"371","IGHV3-25"
"372","IGHVIII-25-1"
"373","IGHV2-26"
"374","IGHVIII-26-1"
"375","IGHVII-26-2"
"376","IGHV7-27"
"377","IGHV4-28"
"378","IGHVII-28-1"
"379","IGHV3-32"
